City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
99,Port Moresby,-9.44,147.18,295.42,87,29,4.67,PG,2020-08-02 17:08:21
100,Port Elizabeth,-33.92,25.57,295.15,37,0,2.6,ZA,2020-08-02 17:08:21
101,Am Timan,11.03,20.28,295.75,92,99,1.78,TD,2020-08-02 17:08:21
102,Verkhniy Ufaley,56.06,60.23,290.19,85,78,1.12,RU,2020-08-02 17:08:21
103,Sira,13.75,76.91,295.89,76,94,8.43,IN,2020-08-02 17:08:21
104,Flin Flon,54.77,-101.86,295.15,53,5,2.6,CA,2020-08-02 17:08:22
105,Bethel,41.37,-73.41,298.15,94,90,3.1,US,2020-08-02 17:08:22
106,Shache,38.42,77.24,297.36,20,34,1.43,CN,2020-08-02 17:08:22
107,Piacabucu,-10.41,-36.43,296.96,82,56,4.87,BR,2020-08-02 17:08:22
108,Sarakhs,36.54,61.16,304.15,20,0,3.39,IR,2020-08-02 17:08:22
109,Tutoia,-2.76,-42.27,301.85,62,64,3.77,BR,2020-08-02 17:07:33
110,Zyryanka,65.75,150.85,282.38,77,13,1.82,RU,2020-08-02 17:08:23
111,Ostrovnoy,68.05,39.51,283.49,86,100,5.5,RU,2020-08-02 17:08:23
112,Vardo,70.37,31.11,283.15,87,75,4.1,NO,2020-08-02 17:08:23
113,Hilo,19.73,-155.09,295.15,83,90,2.6,US,2020-08-02 17:06:50
114,Esperance,-33.87,121.9,283.15,81,64,5.1,AU,2020-08-02 17:06:47
115,Vila Franca Do Campo,37.72,-25.43,297.15,64,20,3.6,PT,2020-08-02 17:08:24
116,Jezerski,44.98,16.08,299.93,53,0,3.51,BA,2020-08-02 17:08:25
117,Qaanaaq,77.48,-69.36,276.59,85,99,5.99,GL,2020-08-02 17:08:25
118,Faro,37.02,-7.93,300.15,61,0,4.1,PT,2020-08-02 17:08:15
119,Masallatah,32.62,14.0,303.95,35,0,3.94,LY,2020-08-02 17:08:26
120,Birstonas,54.62,24.03,297.15,44,81,1.0,LT,2020-08-02 17:08:26
121,Vavoua,7.38,-6.48,298.42,74,100,2.59,CI,2020-08-02 17:08:27
122,Poum,-20.23,164.02,293.85,62,88,4.12,NC,2020-08-02 17:08:08
